model,name,ttype,source
account.account,x_studio_code_taxe,Char,cadiffusion_base/models/account_move.py
account.bank.statement.line,x_studio_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.bank.statement.line,x_studio_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
account.move,x_studio_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.move,x_studio_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
account.move.line,x_studio_cmup,Float,cadiffusion_base/models/account_move.py
account.move.line,x_studio_date,Date,cadiffusion_base/models/account_move.py
account.payment,x_studio_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.payment,x_studio_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
product.pricelist.item,x_studio_pricelist,Char,cadiffusion_base/models/product_pricelist.py
product.pricelist.item,x_studio_ref,Char,cadiffusion_base/models/product_pricelist.py
product.template,x_studio_douane,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_field_UQwvT,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_field_iPtqU,Date,cadiffusion_base/models/product_template.py
product.template,x_studio_float_field_K1jhz,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_marque_1,Selection,cadiffusion_base/models/product_template.py
purchase.order,x_studio_etat_facture,Selection,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_field_qrjIt,Text,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_observations_achats,Text,cadiffusion_base/models/purchase_order.py
res.partner,x_studio_field_SlKde,Boolean,cadiffusion_base/models/res_partner.py
sale.order,x_studio_etiquettes,Many2many,cadiffusion_base/models/sale_order.py
sale.order,x_studio_notes_commande,Text,cadiffusion_base/models/sale_order.py
sale.order,x_studio_siret,Char,cadiffusion_base/models/sale_order.py
sale.order.line,x_studio_article_cmd,Char,cadiffusion_base/models/sale_order.py
sale.order.line,x_studio_marge,Float,cadiffusion_base/models/sale_order.py
stock.move,x_studio_char_field_U2Qbo,Char,cadiffusion_base/models/stock.py
stock.move,x_studio_date_transfert,Datetime,cadiffusion_base/models/stock.py
stock.move,x_studio_field_x143A,Date,cadiffusion_base/models/stock.py
stock.move.line,x_studio_substitution,Char,cadiffusion_base/models/stock.py
stock.picking,x_studio_cre_par,Char,cadiffusion_base/models/stock.py
stock.picking,x_studio_field_GzsJK,Char,cadiffusion_base/models/stock.py
stock.picking,x_studio_field_p3dnG,Char,cadiffusion_base/models/stock.py
